"","Headline","Publication","Summary","Date"
"335","Stability, development transform Xinjiang","China Daily, 512 words",NA,2019-07-31
"336","Austrian Sinologist lauds old wisdom as good for the world","China Daily, 542 words",NA,2019-09-18
"337","Xinjiang discharges reservoir water in another effort to revive Tarim River","China Daily, 498 words",NA,2019-08-29
"338","Muslims need to be more cautious about Western propaganda on Xinjiang","China Daily, 893 words",NA,2020-02-24
"339","West is the emerging destination in China for investment","China Daily, 592 words",NA,2019-09-04
"340","What they say","China Daily, 474 words",NA,2019-06-21
"341","Award-winning photo highlights perils of life on the prairie","China Daily, 602 words",NA,2019-10-21
"342","Nation's first wildlife overpass to open","China Daily, 455 words",NA,2019-06-25
"343","Xinjiang policy in the best interest of local ethnicities","China Daily, 477 words",NA,2019-07-15
"344","Program offers natural response to office stress","China Daily, 753 words",NA,2020-01-22
"345","Xinjiang assistance targets livelihoods","China Daily, 482 words",NA,2019-07-17
"346","High-temperature vehicle testing site set up in Xinjiang","China Daily, 515 words",NA,2019-08-02
"347","Entrepreneur helps lift villagers out of poverty","China Daily, 919 words",NA,2020-02-26
"348","Time-honored Silk Road partnership renewed","China Daily, 491 words",NA,2019-07-04
"349","Construction company banks on technology to boost fortunes","China Daily, 575 words",NA,2019-08-20
"350","Villagers' incomes blossom with flower planting","China Daily, 611 words",NA,2019-09-27
"351","Meituan unveils new program to help farmers in less affluent areas","China Daily, 646 words",NA,2019-09-26
"352","Combining forces","China Daily, 634 words",NA,2019-08-17
"353","Ambassadors voice support for nation on issues related to Xinjiang","China Daily, 561 words",NA,2019-07-29
"354","West does not speak for international community","China Daily, 609 words",NA,2019-07-30
"355","Northwest area sees increasing precipitation","China Daily, 684 words",NA,2019-09-20
"356","Trade truce needed to avoid decoupling","China Daily, 840 words",NA,2019-12-23
"357","Official slams Washington's military bill","China Daily, 836 words",NA,2019-12-27
"358","Xinjiang policy subject to no one's slander","China Daily, 781 words",NA,2019-11-20
"359","Airline industry heading for summer boom","China Daily, 515 words",NA,2019-07-12
"360","Crackdown on gangs intensifies","China Daily, 448 words",NA,2019-05-08
"361","Rising demand for natural gas main driver of energy consumption growth","China Daily, 479 words",NA,2019-06-05
"362","Critics of Xinjiang policies politically motivated","China Daily, 598 words",NA,2019-07-30
"363","A NATURAL CALLING","China Daily, 1062 words",NA,2019-05-03
"364","Driving thousands of miles to reach Third Pole","China Daily, 630 words",NA,2019-10-04
"365","Japanese audience applauds Chinese classical performance","China Daily, 747 words",NA,2019-11-04
"366","Special corps on front line of agriculture","China Daily, 1373 words",NA,2019-08-15
"367","Pot smuggled from North America rises","China Daily, 533 words",NA,2019-06-18
"368","BRI benefits from opening-up efforts","China Daily, 553 words",NA,2019-06-24
"369","Foreign ministry defends UN visit to Xinjiang","China Daily, 518 words",NA,2019-06-18
"370","Ideal location to test the mettle of international athletes, electric cars","China Daily, 833 words",NA,2019-11-26
"371","Yuli 's all-round forest ranger","China Daily, 513 words",NA,2019-07-13
"372","Resettlement raises living standards","China Daily, 536 words",NA,2019-07-09
"373","International horticulture expo promotes capital's eco-friendly drive","China Daily, 504 words",NA,2019-05-16
"374","Digest","China Daily, 580 words",NA,2019-07-02
"375","Anti-poverty efforts encourage herdsmen","China Daily, 565 words",NA,2019-07-05
"376","Factories bring jobs for villagers to their doorstep","China Daily, 620 words",NA,2019-08-14
"377","North China to get relief from heat soon","China Daily, 536 words",NA,2019-07-05
"378","Volunteers lend a helping hand to Xinjiang patients","China Daily, 594 words",NA,2019-07-08
"379","Delivering five times the fun","China Daily, 792 words",NA,2019-11-21
"380","Country makes first stand at CIFTIS with 'Made in Azerbaijan '","China Daily, 530 words",NA,2019-05-31
"381","Senior official lauds benefits of environmental inspection","China Daily, 589 words",NA,2019-06-28
"382","CPEC brings power, better life to Pakistan","China Daily, 599 words",NA,2019-06-17
"383","Foreign scholars applaud China's anti-terror efforts","China Daily, 710 words",NA,2019-09-07
"384","Chinese doctors finding success at Pakistan center","China Daily, 718 words",NA,2019-09-03
"385","TV show draws China closer to Kyrgyzstan viewers","China Daily, 526 words",NA,2019-06-14
"386","Region transformed by tourism, preservation efforts","China Daily, 752 words",NA,2019-09-05
"387","HK braces itself for greater challenges in 2020","China Daily, 907 words",NA,2020-01-02
"388","Branding key to success of agricultural enterprises","China Daily, 600 words",NA,2019-06-11
"389","Embroiderer elevates Hami craft to haute couture","China Daily, 508 words",NA,2019-04-30
"390","Innovation makes souvenirs profitable","China Daily, 1251 words",NA,2019-05-02
"391","37 envoys write to back China on human rights","China Daily, 695 words",NA,2019-07-15
"392","Vegas stakes high for China's UFC warriors","China Daily, 1109 words",NA,2020-03-06
"393","What's news","China Daily, 870 words",NA,2019-11-22
"394","To know China better, make more efforts","China Daily, 956 words",NA,2019-12-19
"395","Heavy rain heads south after battering north","China Daily, 590 words",NA,2019-07-08
"396","IRU hopes to further facilitate road transport links","China Daily, 530 words",NA,2019-04-25
"397","First Sino- Kazakh film portrays last years of famed musician","China Daily, 530 words",NA,2019-05-16
"398","Xinjiang on the road to modern governance","China Daily, 685 words",NA,2019-06-25
"399","ADB to back domestic projects","China Daily, 837 words",NA,2019-09-03
"400","Impoverished. Isolated. Now they have a life","China Daily, 855 words",NA,2019-09-30
"401","President's May Fourth call heard at universities","China Daily, 575 words",NA,2019-05-02
"402","Overseas students flood in to study ancient Chinese therapies","China Daily, 550 words",NA,2019-04-25
"403","Trials underway for saltwater rice strains","China Daily, 683 words",NA,2019-06-10
"404","Emerging from the solitude of silence","China Daily, 906 words",NA,2019-11-13
"405","West's smearing of Xinjiang policy hypocritical","China Daily, 939 words",NA,2019-10-14
"406","Music, it should be noted, can be a truly powerful healer","China Daily, 654 words",NA,2019-07-17
"407","Japanese travel lover now calls China home","China Daily, 742 words",NA,2019-08-07
"408","Nation rallies to satisfy Hubei 's appetite","China Daily, 1535 words",NA,2020-03-27
"409","Expo highlights China-Africa cooperation","China Daily, 747 words",NA,2019-06-28
"410","All ethnic groups in Xinjiang fully enjoy human rights","China Daily, 760 words",NA,2019-07-01
"411","Xinjiang beckoning RV lovers","China Daily, 596 words",NA,2019-05-13
"412","Overseas media applaud rural development, anti-terrorism efforts","China Daily, 844 words",NA,2019-08-26
"413","Emerging from the solitude of silence","China Daily, 930 words",NA,2019-11-13
"414","Guangxi a key cog in success of trade route","China Daily, 916 words",NA,2019-09-20
"415","When it comes to human rights, US barks up the wrong tree","China Daily, 736 words",NA,2019-07-16
"416","When it comes to human rights, US barks up the wrong tree","China Daily, 749 words",NA,2019-07-16
"417","Cherishing China's rich athletic heritage","China Daily, 842 words",NA,2019-09-16
"418","Students stage musical to honor a late composer","China Daily, 738 words",NA,2019-07-17
"419","Chinese producer revives Tajik cotton industry","China Daily, 761 words",NA,2019-06-24
"420","Snow sports get warm reception","China Daily, 1025 words",NA,2019-10-29
"421","Ambassador lauds China's achievements","China Daily, 980 words",NA,2019-09-11
"422","Expo highlights China-Africa cooperation","China Daily, 774 words",NA,2019-06-28
"423","Former French diplomat aids companies' efforts to foster overseas relationships","China Daily, 1315 words",NA,2020-01-26
"424","Telemedicine provides remote help for patients","China Daily, 792 words",NA,2019-06-25
"425","Turkey looks to improve ties with China","China Daily, 742 words",NA,2019-07-02
"426","China pushing to get more books in global market","China Daily, 731 words",NA,2019-06-21
"427","All-Chinese women's team summit Mt Qomolangma","China Daily, 742 words",NA,2019-06-15
"428","Students stage musical to honor a late composer","China Daily, 752 words",NA,2019-07-17
"429","Handmade and homemade for success","China Daily, 1092 words",NA,2019-10-22
"430","Fresh water replenishes China's longest inland river","China Daily, 711 words",NA,2019-05-23
"431","Fighting terror to protect human rights","China Daily, 911 words",NA,2019-06-21
"432","Man shares 'wealth of books'","China Daily, 644 words",NA,2019-05-22
"433","Epic series on small screen","China Daily, 862 words",NA,2019-07-25
"434","Man shares 'wealth of books'","China Daily, 658 words",NA,2019-05-22
"435","Xinjiang vocational schools offering hope","China Daily, 898 words",NA,2019-08-17
"436","Cloudy outlook brings sunshine to online group","China Daily, 956 words",NA,2019-09-13
"437","Helping rural kids get their kicks","China Daily, 667 words",NA,2019-05-09
"438","Powering to a cleaner and greener future","China Daily, 985 words",NA,2019-08-12
"439","Cloudy outlook brings sunshine to online group","China Daily, 1023 words",NA,2019-09-13
"440","Infrastructure set to play crucial role","China Daily, 825 words",NA,2019-04-30
"441","What's news","China Daily, 1083 words",NA,2019-09-18
"442","Music makeover for Qingdao","China Daily, 929 words",NA,2019-07-20
"443","DIY projects entice many to pick up","China Daily, 1179 words",NA,2019-10-04
"444","Seeding epic growth with nuts","China Daily, 797 words",NA,2019-04-22
"445","DIY projects entice many to pick up","China Daily, 1126 words",NA,2019-10-04
"446","New yak breed brings herders renewed hope","China Daily, 961 words",NA,2019-07-08
"447","AstraZeneca publishes its first philanthropy white paper","China Daily, 1104 words",NA,2019-06-12
"448","New ideas to preserve the past","China Daily, 1041 words",NA,2019-05-28
"449","New ideas to preserve the past","China Daily, 1014 words",NA,2019-05-28
"450","From screen to grill","China Daily, 1196 words",NA,2019-08-30
"451","Restrictions, criticism faced by dog owners","China Daily, 1477 words",NA,2019-11-01
"452","AstraZeneca publishes its first philanthropy white paper","China Daily, 1168 words",NA,2019-06-11
"453","METEORITE HUNTERS CHASE THEIR DREAMS","China Daily, 1505 words",NA,2019-10-24
"454","REVELING IN GLOBAL LEGACY OF THE SILK ROAD","China Daily, 1297 words",NA,2019-08-09
"455","China Railway Express in Chengdu boosts regional economy","China Daily, 1017 words",NA,2019-04-26
"456","China Railway Express in Chengdu boosts regional economy","China Daily, 991 words",NA,2019-04-26
"457","Veteran kebab-maker still full of passion","China Daily, 880 words",NA,2019-05-01
"458","Champion of culture","China Daily, 1228 words",NA,2019-06-11
"459","Shooting stars from the city","China Daily, 1346 words",NA,2019-07-26
"460","Champion of culture","China Daily, 1188 words",NA,2019-06-11
"461","New Silk Road helps wealth bloom in desert","China Daily, 1496 words",NA,2019-08-14
"462","Outdoor activity trend drives higher accident rate","China Daily, 1299 words",NA,2019-07-10
"463","Driving an energy revolution","China Daily, 1307 words",NA,2019-05-23
"464","NATION PUTTING ITS BEST SPORTING FOOT FORWARD","China Daily, 1528 words",NA,2019-08-08
"465","Institute at forefront of infectious diseases fight","China Daily, 1785 words",NA,2019-09-26
"466","Nation's flower power in full bloom","China Daily, 1441 words",NA,2019-05-10
"467","US connives with terrorists for self-interest","China Daily, 2840 words",NA,2019-12-06
"468","Winds of change sweep offshore power","China Daily, 1383 words",NA,2019-04-22
"469","Latest on the novel coronavirus outbreak","China Daily, 5053 words",NA,2020-02-28
"470","MEDICAL WORKERS PUT THEIR LIVES ON THE LINE","China Daily, 2308 words",NA,2019-08-29
"471","ENVIRONMENTAL MIGRANTS FIND ARABLE LAND, JOBS","China Daily, 1840 words",NA,2019-07-10
"472","Latest on the novel coronavirus outbreak","China Daily, 5438 words",NA,2020-02-29
"473","Cultural crossroads","China Daily, 1930 words",NA,2019-07-09
"474","Cultural crossroads","China Daily, 1984 words",NA,2019-07-09
"475","WISDOM of the AGED","China Daily, 2393 words",NA,2019-09-26
"476","Training strengthened for bilingual ethnic legal officials","China Daily, 1740 words",NA,2019-05-08
"477","BRI prompts closer global scientific cooperation","China Daily, 1848 words",NA,2019-04-29
"478","Dialogue to bring civilizations closer","China Daily, 2431 words",NA,2019-05-16
"479","Seeking Happiness for People: 70 Years of Progress on Human Rights in China","China Daily, 18427 words",NA,2019-09-23
"480","China's National Defense in the New Era","China Daily, 15129 words",NA,2019-07-25
"481","China's National Defense in the New Era","China Daily, 15331 words",NA,2019-07-25
"482","Mobile CT unit set up in Xinjiang","China Daily, 151 words",NA,2020-02-28
"483","Xinjiang encourages home fitness during novel coronavirus outbreak","China Daily, 156 words",NA,2020-02-12
"484","Freight train service to Poland commences","China Daily, 147 words",NA,2019-12-27
"485","Tang-era Han tombs found in eastern Xinjiang","China Daily, 147 words",NA,2019-12-12
"486","5.6 magnitude earthquake hits southern Xinjiang","China Daily, 26 words",NA,2020-01-16
"487","Amazing China: The vast grassland under the Tianshan mountains","China Daily, 38 words",NA,2020-01-16
"488","Amazing China: Flaming Mountains and Grape Valley","China Daily, 50 words",NA,2020-02-08
"489","Amazing China: Mysterious Kanas Lake","China Daily, 59 words",NA,2020-01-28
"490","Over 65 tons of donated beef leaves for Wuhan","China Daily, 93 words",NA,2020-03-01
"491","China sends medical experts to Pakistan","China Daily, 122 words",NA,2020-03-28
"492","Amazing China: A corridor of apricot blossom far from the sea","China Daily, 68 words",NA,2020-01-17
"493","Xinjiang medical worker lightens hospital mood with dance class","China Daily, 95 words",NA,2020-02-12
"494","Amazing China: Anjihai Grand Canyon","China Daily, 74 words",NA,2020-01-09
"495","Artist gets fuzzy feeling about animal hair","China Daily, 142 words",NA,2020-03-24
"496","Expressway construction resumes in Xinjiang","China Daily, 186 words",NA,2020-03-24
"497","Novel heroes: Female driver helps ferry medics in Wuhan","China Daily, 138 words",NA,2020-02-19
"498","Hunan , Yunnan discharge last confirmed COVID-19 patients","China Daily, 181 words",NA,2020-03-14
"499","Photo","China Daily, 44 words",NA,2019-08-17
"500","Man in Xinjiang donates horses to help Hubei","China Daily, 160 words",NA,2020-02-09
"501","China Southern flies 3,000 to workplaces around the country","China Daily, 194 words",NA,2020-03-11
"502","Photo","China Daily, 47 words",NA,2019-07-31
"503","Photo","China Daily, 77 words",NA,2019-08-08
"504","Xinjiang man climbs mountains to help Hubei","China Daily, 199 words",NA,2020-02-09
"505","On our Sina Weibo","China Daily, 188 words",NA,2019-07-05
"506","Uygur man reaps rewards of new industries","China Daily, 443 words",NA,2021-01-18
"507","Muslims should know whose interests Uygur separatists serve","China Daily, 852 words",NA,2020-10-13
"508","Xinjiang 's Uygur population rising, not declining, official says","China Daily, 649 words",NA,2020-08-29
"509","Uygur brothers turn the valve on poverty alleviation","China Daily, 324 words",NA,2020-11-03
"510","Naan industrial park gives Uygur people a new start","China Daily, 503 words",NA,2020-09-19
"511","Uygur makes fortune by expanding melon markets","China Daily, 660 words",NA,2020-09-15
"512","Xinjiang 's achievements impress visiting envoys","China Daily, 588 words",NA,2021-04-03
"513","US' attempt to smear China through Uygur bill will not succeed","China Daily, 502 words",NA,2020-06-19
"514","US up to old tricks in trying to influence Xinjiang cotton industries","China Daily, 535 words",NA,2021-03-28
"515","Xinjiang official criticizes EU move","China Daily, 356 words",NA,2021-03-19
"516","Ministry: 'Genocide in Xinjiang ' another US lie","China Daily, 428 words",NA,2021-04-01
"517","Birth trend in Xinjiang due to progress","China Daily, 538 words",NA,2021-01-08
"518","US fabricating lies about Xinjiang rights abuses, report says","China Daily, 674 words",NA,2021-01-06
"519","Official hits back over Xinjiang accusations","China Daily, 404 words",NA,2021-03-27
"520","Western brands unwise to be a cat's paw","China Daily, 841 words",NA,2021-03-29
"521","FM rejects rights accusations in Xinjiang","China Daily, 718 words",NA,2021-02-24
"522","US footwear brand Skechers : no evidence of Xinjiang 'forced labor'","China Daily, 248 words",NA,2021-03-27
"523","BBC 's false China-related news reports over the last 2 years","China Daily, 316 words",NA,2021-02-22
"524","Report rebukes claims on Xinjiang","China Daily, 500 words",NA,2021-03-24
"525","Testimonies of Xinjiang 'mass rape victim' proven to be full of loopholes","China Daily, 1118 words",NA,2021-02-19
"526","Hyping lies about Xinjiang will always exact a price: China Daily editorial","China Daily, 516 words",NA,2021-03-28
"527","Xinjiang 's economic, social development praised","China Daily, 494 words",NA,2021-02-04
"528","Lawsuit filed against German anti-China figure for Xinjiang rumors","China Daily, 252 words",NA,2021-03-09
"529","Claims of 'forced labor' in Xinjiang dismissed","China Daily, 466 words",NA,2020-12-22
"530","Truth and fabrication on Xinjiang 's population change","China Daily, 693 words",NA,2021-02-05
"531","Xinjiang official accuses BBC of lying, spreading rumors","China Daily, 402 words",NA,2021-02-11
"532","China condemns summoning of its envoys","China Daily, 586 words",NA,2021-03-25
"533","False claims aim to hurt prosperity of Xinjiang","China Daily, 801 words",NA,2021-03-29
"534","Two-faced' officials exposed in new Xinjiang documentary","China Daily, 372 words",NA,2021-04-02
"535","Dongguan companies giving boost to Xinjiang economy","China Daily, 240 words",NA,2020-12-25
"536","Journey to Xinjiang reveals biases of Western media","China Daily, 1476 words",NA,2020-11-23
"537","Last leg of China's longest east-west high-speed rail route opens","China Daily, 234 words",NA,2021-02-08
"538","By targeting Xinjiang , Canada barking up wrong tree","China Daily, 845 words",NA,2021-03-02
"539","Allegation of genocide in Xinjiang the biggest lie in history","China Daily, 1083 words",NA,2021-03-01
"540","An Analysis Report on Population Change in Xinjiang","China Daily, 1469 words",NA,2021-01-07
"541","Official challenges birthrate assertions","China Daily, 432 words",NA,2021-01-12
"542","Top legislator spells out stance on Xinjiang , HK","China Daily, 417 words",NA,2021-03-26
"543","Flowers in the yard","China Daily, 410 words",NA,2020-10-16
"544","Spur for China's textile industry to upgrade","China Daily, 463 words",NA,2021-03-30
"545","Dongguan pours funds into development of city in south Xinjiang","China Daily, 624 words",NA,2021-01-04
"546","Report: Xinjiang textile workers' rights protected","China Daily, 573 words",NA,2021-02-01
"547","Sinopec finds gas, oil flows in Xinjiang","China Daily, 451 words",NA,2021-03-16
"548","Xinjiang 'genocide' talk doesn't bear scrutiny","China Daily, 336 words",NA,2020-09-07
"549","Spirit of craftsmanship should extend to all","China Daily, 489 words",NA,2021-03-12
"550","EU barking up the wrong tree: China Daily editorial","China Daily, 443 words",NA,2021-03-17
"551","Xinjiang cotton boycott US -led burlesque: China Daily editorial","China Daily, 505 words",NA,2021-03-31
"552","Adrian Zenz's lies on Xinjiang 's population debunked (6)","China Daily, 782 words",NA,2020-09-15
"553","Do foreign media hate China?' British netizens have the answer","China Daily, 433 words",NA,2021-03-05
"554","Expert rebuts forced 'birth control' claims","China Daily, 823 words",NA,2020-09-15
"555","Relocation policies move villagers out of poverty","China Daily, 305 words",NA,2021-01-19
"556","Mechanization of Xinjiang 's cotton sector approaches 90%","China Daily, 552 words",NA,2021-04-02
"557","Beijing rips London for 'trick' at UN on Xinjiang","China Daily, 437 words",NA,2021-02-25
"558","Tech makes things easier in northwest cotton fields","China Daily, 571 words",NA,2021-03-27
"559","Experts hit out over US legislation on Uygurs","China Daily, 616 words",NA,2020-06-22
"560","Western media should stop living in the past","China Daily, 410 words",NA,2021-02-10
"561","Water a precious commodity in Xinjiang 's Qira county","China Daily, 212 words",NA,2020-11-19
"562","Birthrate for Uygurs is No 1 in Xinjiang","China Daily, 519 words",NA,2020-09-04
"563","Canada using human rights as fig leaf to cover its shame: China Daily editorial","China Daily, 494 words",NA,2021-03-02
"564","International mail up 50% in NW China's Xinjiang","China Daily, 258 words",NA,2020-11-17
"565","Foreigners welcomed to see truth for themselves","China Daily, 461 words",NA,2021-02-02
"566","Analysis: Report on Xinjiang full of holes","China Daily, 491 words",NA,2020-09-17
"567","Washington urged to end import ban on Xinjiang","China Daily, 386 words",NA,2021-01-15
"568","Xinjiang rebuts claims about 'racial genocide'","China Daily, 838 words",NA,2020-08-31
"569","Fishery thrives in landlocked Xinjiang","China Daily, 435 words",NA,2021-01-19
"570","A First Farewell': Trailer","China Daily, 211 words",NA,2020-08-04
"571","Western media's disinformation campaign - two tales, one Xinjiang","China Daily, 477 words",NA,2021-01-25
"572","Hot for cold","China Daily, 394 words",NA,2020-12-29
"573","World's smallest stegosaurus track found in Xinjiang","China Daily, 220 words",NA,2021-03-09
"574","Hard work, new skills improve villagers' lives","China Daily, 956 words",NA,2021-03-03
"575","Xinjiang : 2 confirmed, 116 asymptomatic virus cases","China Daily, 277 words",NA,2020-11-04
"576","Xinjiang's autumnal allure","China Daily, 252 words",NA,2020-10-27
"577","Former Xinjiang deputy chair expelled from CPC","China Daily, 332 words",NA,2020-11-30
"578","Xinjiang responding to allegations with contentment","China Daily, 953 words",NA,2021-02-17
"579","BBC deserves the penalty it gets","China Daily, 493 words",NA,2021-02-12
"580","Secretary of chile ' sows the seeds of progress","China Daily, 427 words",NA,2020-10-20
"581","Adrian Zenz's lies on Xinjiang 's population debunked (3)","China Daily, 1148 words",NA,2020-09-14
"582","Boycott set to severely harm global supply chain","China Daily, 753 words",NA,2021-03-27
"583","Truth of Xinjiang speaks louder than slander","China Daily, 457 words",NA,2020-12-28
"584","Xinjiang 'genocide' lie desperate gambit of West","China Daily, 730 words",NA,2021-03-27
"585","From the ground, up","China Daily, 295 words",NA,2020-10-21
"586","New skills see almond growers lift incomes","China Daily, 571 words",NA,2021-01-25
"587","Humble nang becomes big business for Xinjiang bakers","China Daily, 389 words",NA,2020-09-25
"588","China shares true picture of Xinjiang with Malaysia","China Daily, 298 words",NA,2021-03-19
"589","Relocation changes lifestyle, mindset of Xinjiang residents","China Daily, 479 words",NA,2020-09-28
"590","More countries join China in rebuking Western claims","China Daily, 837 words",NA,2021-03-30
"591","New choir hits the high notes for Party's anniversary","China Daily, 276 words",NA,2021-03-10
"592","Xi's vision of shared destiny draws applause","China Daily, 268 words",NA,2021-03-05
"593","Mass testing finds over 700 camel pregnancies","China Daily, 379 words",NA,2020-11-27
"594","Adrian Zenz's lies on Xinjiang 's population debunked (5)","China Daily, 1168 words",NA,2020-09-15
"595","Xinjiang villagers see huge changes after relocation","China Daily, 655 words",NA,2020-09-28
"596","City dwellers tell the story of their hometowns in documentary","China Daily, 248 words",NA,2021-03-02
"597","Progress, Xinjiang 's answers to those who slam it","China Daily, 458 words",NA,2020-09-18
"598","Genocide claim in Xinjiang a rumor fabricated with ulterior motives","China Daily, 781 words",NA,2021-03-11
"599","Xinjiang targets transportation","China Daily, 603 words",NA,2021-02-02
"600","An analysis of American interference in Xinjiang affairs under the context of human rights protection - A research report from the perspective of Xinjiang 's population","China Daily, 561 words",NA,2021-01-06
"601","Xinjiang schools to resume operation","China Daily, 215 words",NA,2020-09-04
"602","Martyrs' graveyards welcome new tourists","China Daily, 339 words",NA,2021-04-05
"603","China-Europe train departs with 200,000 Singles Day parcels","China Daily, 376 words",NA,2020-11-05
"604","US politicians like 'genocide' because they have done it many times","China Daily, 584 words",NA,2021-01-30
"605","China increases efficiency of consumer rights protection","China Daily, 342 words",NA,2021-03-16
"606","Latest on the novel coronavirus outbreak","China Daily, 1716 words",NA,2020-08-12
"607","Further Kashgar transmission of virus seen as unlikely","China Daily, 371 words",NA,2020-10-29
"608","Xinjiang will protect human rights, ensure all ethnic groups live a life of dignity","China Daily, 839 words",NA,2020-09-30
"609","Stop spinning Xinjiang cotton yarns","China Daily, 348 words",NA,2021-03-26
"610","Ban on Ramadan fasting 'nonsense', Xinjiang says","China Daily, 522 words",NA,2020-06-02
"611","Xinjiang training center grads refute rumors from West","China Daily, 365 words",NA,2020-10-31
"612","Woman leads fellow Xinjiang villagers out of poverty","China Daily, 425 words",NA,2020-12-08
"613","In cold Xinjiang gas field, foxes are family","China Daily, 660 words",NA,2021-02-27
"614","5 Kashgar COVID cases symptomatic","China Daily, 393 words",NA,2020-10-28
"615","Field of dreams far from home","China Daily, 274 words",NA,2020-09-09
"616","Bid to weaken cotton sector fated to fail","China Daily, 923 words",NA,2021-03-31
"617","Report: Livestreaming surged in 2020","China Daily, 259 words",NA,2021-02-03
"618","Xinjiang legislature says US act a piece of waste paper","China Daily, 301 words",NA,2020-06-18
"619","Canadian YouTuber explains why the West is targeting Xinjiang","China Daily, 352 words",NA,2021-03-26
"620","Report refutes 'forced labor' accusations","China Daily, 735 words",NA,2020-10-27
"621","Adrian Zenz's lies on Xinjiang 's population debunked (1)","China Daily, 1073 words",NA,2020-09-14
"622","Domestic film 'A First Farewell' wins hearts, box office","China Daily, 566 words",NA,2020-08-04
"623","Much needed relief for small and micro firms","China Daily, 363 words",NA,2021-03-09
"624","Xinjiang records positive development in fight against COVID-19","China Daily, 232 words",NA,2020-08-09
"625","Western media's portrayal of training centers far from truth","China Daily, 321 words",NA,2021-02-05
"626","Manufacturers must move up the value chain","China Daily, 443 words",NA,2021-04-02
"627","Planting fruit helps bring prosperity to Aksu in Xinjiang","China Daily, 699 words",NA,2021-01-14
"628","Does Xinjiang suppress religious beliefs?","China Daily, 421 words",NA,2021-03-17
"629","So-called Xinjiang population report full of lies","China Daily, 1802 words",NA,2020-09-04
"630","Freedom of religious belief fully protected in Xinjiang , says report","China Daily, 462 words",NA,2020-11-03
"631","Western media unlocked: Unmasking hypocrisy and propaganda","China Daily, 417 words",NA,2020-10-10
"632","Growing of seawater rice to be greatly expanded","China Daily, 683 words",NA,2021-01-16
"633","Xinjiang border port pushes efficiency","China Daily, 261 words",NA,2020-08-04
"634","Train from Chongqing marks European anniversary","China Daily, 438 words",NA,2021-03-22
"635","Authorities retrieve 31,000 cultural relics","China Daily, 445 words",NA,2021-03-25
"636","Intl parcel volume exceeds 20 million at Alataw Pass port in NW China","China Daily, 363 words",NA,2020-07-06
"637","Thousands of safe new homes on track for Xinjiang","China Daily, 328 words",NA,2020-09-22
"638","Cotton-picking champion has plans to branch out","China Daily, 397 words",NA,2020-10-30
"639","Report says BRI faces new challenges","China Daily, 449 words",NA,2021-03-25
"640","Washington stoops to new low with its condoning terrorists: China Daily editorial","China Daily, 475 words",NA,2020-11-09
"641","White paper focuses on job security in Xinjiang","China Daily, 610 words",NA,2020-09-18
"642","Western public opinion misled by specter of McCarthyism","China Daily, 422 words",NA,2021-03-15
"643","New diplomacy for a confident, rising nation","China Daily, 400 words",NA,2021-03-11
"644","New Xinjiang COVID-19 outbreak unrelated to previous episode","China Daily, 496 words",NA,2020-11-06
"645","Last leg of east-west rail corridor opens","China Daily, 315 words",NA,2021-02-09
"646","Passion for marigolds plants roots of success","China Daily, 672 words",NA,2020-09-29
"647","Educational situation of Xinjiang Uygur Muslims has got improved","China Daily, 1702 words",NA,2020-04-17
"648","Use of Xinjiang satellite images 'misleading'","China Daily, 591 words",NA,2020-11-30
"649","Better livelihoods boost happiness in Xinjiang","China Daily, 412 words",NA,2020-09-21
"650","Xinjiang 's confirmed virus cases show slowdown","China Daily, 291 words",NA,2020-08-02
"651","When chickens arrived, people prospered","China Daily, 522 words",NA,2020-11-18
"652","CPPCC slams US for siding with terrorists","China Daily, 415 words",NA,2020-06-18
"653","Fact check: People held in custody not religious faculty staff","China Daily, 438 words",NA,2021-03-12
"654","Urumqi vows financial aid to groups struggling against COVID-19","China Daily, 253 words",NA,2020-07-25
"655","Kazak embroidery threads way out of poverty for women","China Daily, 207 words",NA,2020-06-27
"656","CNPC uses resources for poverty alleviation","China Daily, 399 words",NA,2020-09-15
"657","Domestic focus gives fillip to tourism industry","China Daily, 582 words",NA,2020-11-24
"658","Dear BBC , bad-mouthing China can't be news","China Daily, 350 words",NA,2021-02-18
"659","Companies should shun anti-China ploys: China Daily editorial","China Daily, 458 words",NA,2021-03-24
"660","Xinjiang to operate 26 chartered tour trains","China Daily, 378 words",NA,2020-09-11
"661","COVID-19 cases pass 160 in Kashgar amid mass testing","China Daily, 465 words",NA,2020-10-27
"662","Free to blame China, not free to defend it?","China Daily, 396 words",NA,2021-03-12
"663","Xinjiang progress key to national unity","China Daily, 815 words",NA,2020-09-29
"664","Fact check: No demolition of mosques or religious places","China Daily, 436 words",NA,2021-03-10
"665","Common Xinjiang food boosts farmers' incomes","China Daily, 721 words",NA,2020-09-30
"666","E-commerce sites pull H&M products after company's Xinjiang statement","China Daily, 485 words",NA,2021-03-24
"667","China has to defend Xinjiang cotton","China Daily, 471 words",NA,2021-03-26
"668","Adrian Zenz's lies on Xinjiang 's population debunked (4)","China Daily, 702 words",NA,2020-09-15
"669","Xinjiang woman hooks into success with fish breeding","China Daily, 213 words",NA,2020-06-23
"670","Xinjiang man gives back to community with elder care","China Daily, 472 words",NA,2020-10-26
"671","Employment and Labor Rights in Xinjiang","China Daily, 1749 words",NA,2020-09-18
